,buyEnd,buyStart,date,sellEnd,sellStart
187,20.6840,20.6400,2018-07-06,20.8840,20.8400
188,20.5900,20.5130,2018-07-05,20.7900,20.7130
189,20.5270,20.5520,2018-07-04,20.7270,20.7520
190,20.4640,20.3670,2018-07-03,20.6640,20.5670
191,20.5070,20.5350,2018-07-02,20.7070,20.7350
192,20.5270,20.5220,2018-06-29,20.7270,20.7220
193,20.5880,20.5730,2018-06-28,20.7880,20.7730
194,20.6700,20.6980,2018-06-27,20.8700,20.8980
195,20.8140,20.8420,2018-06-26,21.0140,21.0420
196,20.8940,20.8600,2018-06-25,21.0940,21.0600
197,20.8110,20.7270,2018-06-22,21.0110,20.9270
198,20.6250,20.5610,2018-06-21,20.8250,20.7610
199,20.6670,20.7260,2018-06-20,20.8670,20.9260
200,20.7290,20.7590,2018-06-19,20.9290,20.9590
201,20.7190,20.7340,2018-06-15,20.9190,20.9340
202,20.9710,20.8860,2018-06-14,21.1710,21.0860
203,20.8410,20.8160,2018-06-13,21.0410,21.0160
204,20.9040,20.7980,2018-06-12,21.1040,20.9980
205,20.8910,20.8850,2018-06-11,21.0910,21.0850
206,20.8240,20.7970,2018-06-08,21.0240,20.9970
207,20.8600,20.8220,2018-06-07,21.0600,21.0220
208,20.8220,20.8560,2018-06-06,21.0220,21.0560
209,20.8890,20.8550,2018-06-05,21.0890,21.0550
210,20.8020,20.7480,2018-06-04,21.0020,20.9480
211,20.7790,20.9240,2018-06-01,20.9790,21.1240
212,20.8730,20.8450,2018-05-31,21.0730,21.0450
213,20.7010,20.6200,2018-05-30,20.9010,20.8200
214,20.6660,20.6960,2018-05-29,20.8660,20.8960
215,20.6920,20.6170,2018-05-28,20.8920,20.8170
216,20.6410,20.6380,2018-05-25,20.8410,20.8380
217,20.5870,20.6250,2018-05-24,20.7870,20.8250
218,20.5580,20.6610,2018-05-23,20.7580,20.8610
219,20.7490,20.7080,2018-05-22,20.9490,20.9080
220,20.5520,20.5510,2018-05-21,20.7520,20.7510
221,20.5500,20.5120,2018-05-18,20.7500,20.7120
222,20.5040,20.5080,2018-05-17,20.7040,20.7080
223,20.4930,20.4080,2018-05-16,20.6930,20.6080
224,20.5540,20.4710,2018-05-15,20.7540,20.6710
225,20.5800,20.6310,2018-05-14,20.7800,20.8310
226,20.6370,20.6220,2018-05-11,20.8370,20.8220
227,20.5960,20.6450,2018-05-10,20.7960,20.8450
228,20.7250,20.6400,2018-05-09,20.9250,20.8400
229,20.7550,20.8170,2018-05-08,20.9550,21.0170
